Reference,Generated,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore,BARTScore
Azimuthal asymmetries of charged hadrons produced muons off longitudinally polarised deuterons at COMPASS,Synthesis of azimuthal asymmetries in semi-inclusive production of positive and negative hadrons,0.3076923076923077,0.08333333333333333,0.3076923076923077,0.8627730011940002,-4.621737003326416
Computer Aided Clinical Trials for Implantaule Cardiac Devices,Design and Performance of a Computer-Aided Clinical Trial for Implantable Cardiac Devices,0.6666666666666667,0.5263157894736842,0.6666666666666667,0.9000632166862488,-2.9681882858276367
"Effects of nonequilibrium growth, nonstoichiometry, and film orientation on the metal-to-insulator transition in NdNiO₃ thin films.",Dynamics of metal-to-insulator transitions in NdNiO3 thin films,0.5714285714285714,0.3846153846153846,0.5714285714285714,0.9208166003227234,-2.9821369647979736
Optimally focused cold atom systems obtained using density-density correlations.,Resonant absorption imaging of Bose-Einstein condensates and other cold-atom systems,0.2727272727272727,0.19999999999999998,0.2727272727272727,0.8658240437507629,-5.064966201782227
Selection and estimation for mixed graphical models.,Estimation of parameters in a pairwise graphical model,0.39999999999999997,0.15384615384615383,0.39999999999999997,0.9027080535888672,-3.901231288909912
Anaktuvuk Pass goes to town,L’Universite d’Alaska a Fairbanks (Tanana Valley Fair),0.0,0.0,0.0,0.7525646090507507,-5.925600051879883
Structure and properties of ultra-high molecular weight bisphenol a polycarbonate synthesized by solid-state polymerization in amorphous microlayers,Structure and properties of ultrahigh molecular weight polycarbonate synthesized by solid-state polymerization in micro-layers.,0.742857142857143,0.606060606060606,0.742857142857143,0.9615700244903564,-1.9957704544067383
Low-to-moderate nitrogen and phosphorus concentrations accelerate microbially driven litter breakdown rates.,Microbially driven litter breakdown rates increase across low-to-moderate nutrient gradients in stream ecosystems,0.5714285714285715,0.4615384615384615,0.3571428571428571,0.8950465321540833,-2.333362102508545
Drastic photoluminescence modulation of an organic molecular crystal with high pressure,Redshift of diphenylfluorenone photoluminescence spectra in the near-infrared region,0.1904761904761905,0.0,0.09523809523809525,0.8471685647964478,-4.445127964019775
Shapes of Stellar Systems and Dark Halos from Simulations of Galaxy Major Mergers,Dark and luminous galaxies in binary galaxy major mergers,0.4545454545454546,0.2,0.3636363636363637,0.8617038726806641,-4.596780300140381
Oxygen electroreduction on gold-cobalt oxide binary nanocluster catalysts,Electroreduction of Oxygen Reduction on Gold-Cobalt Oxide Nanoclusters,0.7777777777777778,0.375,0.6666666666666666,0.9010009765625,-3.098278522491455
"Earthquakes, quaternary faults, and seismic hazard in California",Data from Quaternary faults in California,0.5714285714285715,0.3333333333333333,0.5714285714285715,0.9028258919715881,-3.5326600074768066
Reference map technique for incompressible fluid–structure interaction,Simulation of fluid–solid interactions using Eulerian reference maps,0.47058823529411764,0.13333333333333333,0.23529411764705882,0.8944644927978516,-4.615544319152832
University Students’ Conceptualization and Interpretation of Topographic Maps,Student perceptions of topographic maps in introductory physical geology,0.47058823529411764,0.26666666666666666,0.47058823529411764,0.8976201415061951,-3.474522113800049
Markov Chain Models of Coupled Intracellular Calcium Channels: Kronecker Structured Representations and Benchmark Stationary Distribution Calculations,A Kronecker structured representation for calcium release sites,0.3333333333333333,0.18181818181818182,0.25,0.876142144203186,-4.6621527671813965
Dehn functions and Hölder extensions in asymptotic cones,The Dehn Function and Its Equivalence,0.4,0.3076923076923077,0.4,0.846548318862915,-5.034787178039551
An atomistic investigation into the molecular effects of osteogenesis imperfecta like genetic mutations on biomaterial strength,Effects of tropocollagen mutations on the strength of hydroxyapatite biomaterials,0.5384615384615384,0.16666666666666669,0.38461538461538464,0.8524287343025208,-4.2766289710998535
The Hα Emission Line Variations of HR 6819,HR 6819: A triple system consisting of a massive B3 III star and a low-mass companion,0.24,0.08695652173913043,0.15999999999999998,0.8338311910629272,-5.038084506988525
Renormalization of interactions of ultracold atoms in simulated Rashba gauge fields,Interactions of ultracold atoms with Rashba spin-orbit coupling,0.5,0.33333333333333326,0.5,0.9141333103179932,-4.248710632324219
Investigation of gaps between blocks in microwave images of multilayered walls,Fast imaging of planar stratified media using layered Green's function,0.18181818181818182,0.10000000000000002,0.18181818181818182,0.8600568771362305,-4.596643447875977
Clines Arc through Multivariate Morphospace,Arcing Clines in Multidimensional Morphospace,0.6,0.0,0.4000000000000001,0.8937581777572632,-4.5906572341918945
"Interactive effects of light, nitrogen source, and carbon dioxide on energy metabolism in the diatom Thalassiosira pseudonana",Effects of changing environmental conditions on photosynthesis in Thalassiosira pseudonana,0.4444444444444445,0.16,0.4444444444444445,0.9225329756736755,-3.2739646434783936
Learning Active Task-Oriented Exploration Policies for Bridging the Sim-to-Real Gap,A framework for learning exploration policies for simulation,0.380952380952381,0.2105263157894737,0.380952380952381,0.8728578686714172,-6.195847511291504
Overcoming velocity suppression in dark-matter direct-detection experiments,Pseudoscalar couplings in dark-matter direct-detection experiments,0.7058823529411765,0.6666666666666666,0.7058823529411765,0.9292049407958984,-3.409912586212158
Effect of the Fabrication Technique on the Thermoelectric Performance of Mg-Based Compounds—A Case Study of n-Type Mg2Ge,Solid-State fabrication of n-type Mg2Ge for thermoelectric applications,0.4,0.21428571428571427,0.3333333333333333,0.9032596349716187,-3.125464677810669
Generation of Black-Dominant Responses in V1 Cortex,Black-dominant responses in layer 2/3 neurons of the macaque primary visual cortex,0.5454545454545454,0.3,0.45454545454545453,0.9011991024017334,-4.09434700012207
Temporal Logics for Learning and Detection of Anomalous Behavior,Signal temporal logic for early detection of anomalous systems,0.6666666666666666,0.5,0.6666666666666666,0.9124222993850708,-4.338226318359375
Stochastic image processing and simultaneous dewarping for aerial vehicles,Asynchronous Time-Based Image Sensor for Aerial Vehicles,0.47058823529411764,0.26666666666666666,0.47058823529411764,0.8845488429069519,-5.046111106872559
"Multistage ab initio quantum wavepacket dynamics for electronic structure and dynamics in open systems: momentum representation, coupled electron-nuclear dynamics, and external fields.",Multistage ab initio wavepacket dynamics of open-electronic systems.,0.5,0.19999999999999998,0.43750000000000006,0.9336322546005249,-3.7013156414031982
Reynolds number scaling of burning rates in spherical turbulent premixed flames,Reynolds number dependence of spherical turbulent premixed methane/air flames,0.6666666666666666,0.3157894736842105,0.6666666666666666,0.9286569356918335,-3.656888723373413
Eikonal fit to $pp$ and $\bar{p}p$ scattering and the edge in the scattering amplitude,Eikonal fit of differential cross sections for proton-proton and antiproton scattering,0.28571428571428575,0.07692307692307691,0.28571428571428575,0.8545351624488831,-5.5325469970703125
"Electrically driven, optically levitated microscopic rotors",Electro-driven rotation of dielectric microspheres,0.16666666666666666,0.0,0.16666666666666666,0.8721930980682373,-4.04501485824585
When People Get in the Way: Promoting Civic Thinking Through Epistemic Gameplay,Urban Science: A Role-Playing Game for Young People,0.09523809523809525,0.0,0.09523809523809525,0.8736531734466553,-4.709576606750488
"Myxobacteria, polarity, and multicellular morphogenesis.",Fruit-density swarming in myxobacteria,0.20000000000000004,0.0,0.20000000000000004,0.8672434091567993,-4.178982257843018
Characterizing optical chirality,Chirality of a monochromatic optical field,0.4444444444444444,0.0,0.2222222222222222,0.8735807538032532,-4.3046441078186035
Examining the Responding Component of Teacher Noticing: A Case of One Teacher’s Pedagogical Responses to Students’ Thinking in Classroom Artifacts,Response to Teacher Recognition in Formative Assessment Contexts,0.27586206896551724,0.07407407407407408,0.20689655172413796,0.8571812510490417,-3.768425226211548
Salt effects on poly(N-isopropylacrylamide) phase transition thermodynamics from NMR spectroscopy.,Thermodynamics of poly(N-isopropylacrylamide) hydrogels in the presence of NaCl and CaCl2 aqueous solutions,0.2962962962962963,0.16,0.22222222222222224,0.8949399590492249,-2.826456069946289
The AHR-1 aryl hydrocarbon receptor and its co-factor the AHA-1 aryl hydrocarbon receptor nuclear translocator specify GABAergic neuron cell fate in C. elegans,Aryl hydrocarbon receptors regulate GABAergic motor neuron fate specification.,0.3428571428571429,0.12121212121212122,0.3428571428571429,0.8678058385848999,-3.7696807384490967
Reduction of a Tetrafluoroterephthalonitrile-β-Cyclodextrin Polymer to Remove Anionic Micropollutants and Perfluorinated Alkyl Substances from Water.,Tetrafluoroterephthalonitrile-based adsorbents for organic micropollutants.,0.18181818181818182,0.0,0.18181818181818182,0.8948020339012146,-3.2475032806396484
Lock-exchange release density currents over three-dimensional regular roughness elements,Mixed mixing processes in lock-exchange release density currents over rough surfaces,0.6086956521739131,0.47619047619047616,0.6086956521739131,0.9063112735748291,-4.165782451629639
"Effect of Sleep and Biobehavioral Patterns on Multidimensional Cognitive Performance: Longitudinal, In-the-Wild Study","Predicting Sleep, Activity, and Cognitive Performance from Fitness Trackers",0.33333333333333337,0.09090909090909091,0.33333333333333337,0.8536757826805115,-4.545139312744141
SBK: A Self-Configuring Framework for Bootstrapping Keys in Sensor Networks,In-Situ Self-Configuring Key Pre-Distribution for Large-Scale Sensor Networks,0.6086956521739131,0.1904761904761905,0.43478260869565216,0.860921323299408,-3.938727855682373
Index Clustering: A Map-reduce Clustering Approach using Numba,Index-Based Clustering for High-Dimensional Data,0.25,0.0,0.25,0.8801359534263611,-3.9023094177246094
Instability of active suspensions of liquid crystals,Stability of active liquid crystals near equilibrium,0.5714285714285714,0.3333333333333333,0.5714285714285714,0.9226863384246826,-4.081789016723633
Informative features of local field potential signals in primary visual cortex during natural image stimulation.,Local field potential in macaque V1,0.3809523809523809,0.21052631578947364,0.3809523809523809,0.8513808846473694,-4.873222351074219
X-RAY MICROLENSING IN RXJ1131–1231 AND HE1104–1805,X-ray microlensing of gravitationally lensed quasars RX J1131−1231 and HE 1104−1805,0.5217391304347826,0.2857142857142857,0.5217391304347826,0.8734744787216187,-2.9994704723358154
Three‐dimensional transient rip currents: Bathymetric excitation of low‐frequency intrinsic variability,3D transient wave-driven rip currents in the surf zone of offshore incident waves,0.30769230769230765,0.08333333333333334,0.30769230769230765,0.8479742407798767,-5.929450511932373
Teaching Natural Language Processing through Big Data Text Summarization with Problem-Based Learning,A Problem-Based Learning Course for Undergraduate and Graduate Students,0.2608695652173913,0.1904761904761905,0.2608695652173913,0.8529529571533203,-4.327946662902832
Dynamical facilitation of the ideal free distribution in nonideal populations,The role of population growth in restoring a nonideal free distribution,0.6666666666666666,0.10526315789473685,0.28571428571428564,0.9075295925140381,-4.244898319244385
Reply to Grinsted et al.: Estimating land subsidence in North Carolina,Reconstructions and observations of relative sea level from glacial isostatic adjustment,0.0,0.0,0.0,0.8281614780426025,-4.91077184677124
A simple vaporous probe with atomic-scale sensitivity to structural ordering and orientation of molecular assembly,Vaporous probe and quartz crystal microbalance for interfacial ordering and orientation,0.3703703703703703,0.24,0.3703703703703703,0.8804112076759338,-5.433335304260254
Hydroclimate variability of the South American Monsoon System during the last 1600 yr inferred from speleothem isotope records of the north-eastern Andes foothills in Peru,"A speleothem δ 18 O record from Palestina Cave, North Eastern Peru, interpreted as a proxy for South America Summer Monsoon intensity",0.3404255319148936,0.044444444444444446,0.21276595744680848,0.8731158971786499,-4.043909549713135
Optically induced spin-Hall effect in atoms.,Spin-Hall effect in neutral atomic systems,0.7142857142857143,0.5,0.7142857142857143,0.8971095681190491,-2.9743239879608154
Hidden Effects of Negative Stacking Fault Energies in Complex Concentrated Alloys.,Positive stacking fault energies in face-centered cubic high-entropy alloys,0.45454545454545453,0.3,0.45454545454545453,0.8897904753684998,-3.1347615718841553
Uncatalyzed zirconium-mediated biphenylation of o-dihalobenzenes to form triphenylenes.,Zr-mediated aryl-aryl bond formation in [Zr(biphe)3][(Li.(THF)4)2,0.08333333333333333,0.0,0.08333333333333333,0.8063541054725647,-3.721738338470459
PT -symmetric optical lattices,Floquet-Bloch modes in parity-time optical lattices,0.3333333333333333,0.2,0.3333333333333333,0.8445305228233337,-5.401662826538086
"GENETICS, EXPERIENCE, AND HOST-PLANT PREFERENCE IN EUROSTA SOLIDAGINIS: IMPLICATIONS FOR HOST SHIFTS AND SPECIATION",Host preference in the fly Solidago solidaginis (Diptera: Tephritidae),0.33333333333333337,0.09090909090909091,0.33333333333333337,0.7949262857437134,-4.830120086669922
Soil Bacterial and Fungal Communities Exhibit Distinct Long-Term Responses to Disturbance in Temperate Forests,Long-term responses of soil microbial communities to forest disturbance in the Appalachian mountains of North Carolina,0.5625,0.19999999999999998,0.37500000000000006,0.8950091004371643,-3.756084680557251
Enabling Privacy-Preservation in Decentralized Optimization,Privacy-preservation in decentralized optimization,0.9090909090909091,0.888888888888889,0.9090909090909091,0.8987737894058228,-2.746870994567871
The Interaction of Supertyphoon Maemi (2003) with a Warm Ocean Eddy,Interaction between Supertyphoon Maemi and a Warm Ocean Eddy in the Western North Pacific,0.64,0.34782608695652173,0.56,0.9481582641601562,-1.9876583814620972
Nonlocal charge transport mediated by spin diffusion in the spin Hall effect regime,Nonlocal electric response in the spin Hall regime,0.5714285714285714,0.3157894736842105,0.5714285714285714,0.9319347143173218,-5.157968521118164
CRISPathBrick: Modular Combinatorial Assembly of Type II-A CRISPR Arrays for dCas9-Mediated Multiplex Transcriptional Repression in E. coli.,CRISPathBrick: Rapid modular assembly of CRISPR arrays capable of simultaneously repressing multiple target genes,0.4242424242424242,0.12903225806451615,0.4242424242424242,0.9035810232162476,-3.205923318862915
Product Component Genealogy Modeling and Field‐failure Prediction,A generational model for predicting time to failure in industrial systems,0.3157894736842105,0.0,0.2105263157894737,0.8560891151428223,-7.324060916900635
Finite-temperature phase structure of SU(4) gauge theory with multiple fermion representations,Phase Structure of SU(4) gauge theory,0.7000000000000001,0.6666666666666666,0.7000000000000001,0.9153013229370117,-3.232720375061035
Integrated drayage scheduling problem with stochastic container packing and unpacking times,Integrated drayage scheduling for real-life scenarios,0.33333333333333326,0.25,0.33333333333333326,0.891887366771698,-4.218111038208008
Modeling Magneto-Active Elastomer Composites Using the Finite Element Method,Magneto-active elastomers,0.4615384615384615,0.3636363636363636,0.4615384615384615,0.8994241952896118,-4.495754241943359
Insights Into How Heme Reduction Potentials Modulate Enzymatic Activities of a Myoglobin-based Functional Oxidase.,Heme E° modulates oxidase activity in heme-copper oxidase.,0.33333333333333337,0.0,0.33333333333333337,0.860941469669342,-3.9108338356018066
Anisotropies in the electrical properties of rod-like aggregates of liquid crystalline phthalocyanines: Direct current conductivities and field-effect mobilities,Direct current conductivities and organic field-effect transistor characteristics of octa-substituted liquid crystalline phthalocyanines.,0.5714285714285715,0.36363636363636365,0.34285714285714286,0.9038340449333191,-3.1456809043884277
An adaptive finite element PML method for the acoustic-elastic interaction in three dimensions,Numerical solution for acoustic-elastic interaction in three dimensions,0.6086956521739131,0.4761904761904762,0.6086956521739131,0.9299622178077698,-3.819122791290283
"Detrital zircon geochronology of Ediacaran to Cambrian deep-water strata of the Franklinian basin, northern Ellesmere Island, Nunavut: implications for regional stratigraphic correlations","The Nesmith beds and Grant Land Formation of Ellesmere Island, Nunavut",0.29411764705882354,0.12500000000000003,0.2352941176470588,0.8586300611495972,-4.320030212402344
Revision of the asychis species group of Aphelinus (Hymenoptera: Aphelinidae),New species in the Aphelinus asychis genus of parasitoid wasps,0.5,0.0,0.3,0.8858048319816589,-3.056910276412964
Association between time to treatment and functional outcomes according to the Diffusion‐Weighted Imaging Alberta Stroke Program Early Computed Tomography Score in endovascular stroke therapy,Rate of endovascular stroke therapy decays with time when eligible patients are selected by diffusion‐weighted magnetic resonance imaging (DWI‐MRI),0.30434782608695654,0.13636363636363635,0.17391304347826086,0.8618066906929016,-4.30436897277832
"A new glance at HCl-monohydrate spectroscopy, using on-the-fly dynamics.",On-the-fly infrared spectroscopy of HCl monohydrate.,0.6,0.33333333333333326,0.3,0.9191053509712219,-2.827167272567749
Historical forest disturbance mediates soil microbial community responses to drought.,Historical land use influences soil microbial responses to drought,0.631578947368421,0.35294117647058826,0.631578947368421,0.956024169921875,-2.782053232192993
Stochastic Billiards for Sampling from the Boundary of a Convex Set,Stochastic billiards for approximate sampling from the boundary of a bounded convex set,0.9166666666666666,0.7272727272727272,0.9166666666666666,0.9136807322502136,-1.6009753942489624
Direct measurement of forces during scanning tunneling microscopy imaging of silicon pn junctions,Surface forces acting between tip and surface during scanning tunneling microscopy imaging of a silicon pn junction,0.6666666666666667,0.5,0.6666666666666667,0.9451147317886353,-2.513697862625122
Orbitally Matched Edge-Doping in Graphene Nanoribbons.,Band gap engineering of graphene nanoribbons using trigonal planar geometry,0.23529411764705882,0.13333333333333333,0.23529411764705882,0.8637750744819641,-3.4186604022979736
"A new class of long-wavelength fluorophores: strong red fluorescence, convenient synthesis and easy derivation.",Structurally simple fluorophores with strong long-wavelength emission,0.3478260869565218,0.09523809523809523,0.1739130434782609,0.9060567021369934,-3.626786470413208
"Switching ferroelectric domain configurations using both electric and magnetic fields in Pb(Zr,Ti)O3–Pb(Fe,Ta)O3 single-crystal lamellae",Magnetoelectric switching induced by applied electric fields in ferroelectric domains,0.37499999999999994,0.13333333333333333,0.25000000000000006,0.8497635126113892,-4.509787082672119
Vocal matching and intensity of begging calls are associated with a forebrain song circuit in a generalist brood parasite,Petition‐induced forebrain vocal circuits in fledgling cowbirds,0.2962962962962963,0.08,0.22222222222222218,0.8676130175590515,-5.916133403778076
Development and Evaluation of a Mass Conservation Laboratory Module in a Microfluidics Environment.,A novel mass conservation laboratory module for undergraduate fluid mechanics education via module-based instruction,0.3571428571428571,0.23076923076923075,0.3571428571428571,0.8810482621192932,-3.0634877681732178
Ecology and Physiology of the Pathogenic Cyanobacterium Roseofilum reptotaenium,"Ecophysiology of Roseofilum reptotaenium, a gliding, filamentous, phycoerythrin-rich cyanobacterium.",0.4210526315789474,0.11764705882352941,0.3157894736842105,0.8843844532966614,-2.4653921127319336
Properties of long alkyl-chained resorcin[4]arenes in bilayers and on the Langmuir trough,On the aggregation behavior of amphiphiles as monolayers.,0.26086956521739135,0.09523809523809523,0.1739130434782609,0.8338361382484436,-5.338440895080566
Numerical Analysis of Two Phase Cross-Flow Heat Exchanger for High Power Density Equipment in Data Centers under Dynamic Conditions,Dynamic Modeling of Cross-Flow Heat Exchanges,0.4444444444444444,0.23999999999999996,0.37037037037037035,0.8837655782699585,-4.861551761627197
Neutron-proton asymmetry dependence of spectroscopic factors in ar isotopes.,"Spectroscopic factors of proton-rich 34Ar and neutron-rich 46Ar using the (p, d) neutron transfer reaction",0.37037037037037035,0.08,0.14814814814814817,0.8492032885551453,-3.4714457988739014
Thermotolerance and heat stress responses of Douglas-fir and ponderosa pine seedling populations from contrasting climates,Thermotolerance and whole-plant physiological responses to heat stress in first-year germinant seedlings from drier climates,0.48484848484848486,0.12903225806451615,0.42424242424242425,0.9040786623954773,-3.376246213912964
Impact of Adaptive Materials on Teachers and their Students with Visual Impairments in Secondary Science and Mathematics Classes,Apportunity and instructional changes for students with visual impairments in STEM classes,0.4666666666666666,0.2857142857142857,0.4666666666666666,0.8831190466880798,-3.9024078845977783
Conceptual categories scaffold verbal semantic structure: A cross-cultural study of child homesign,"Homesign and instrumental verbs in English, Spanish and Mandarin",0.09090909090909093,0.0,0.09090909090909093,0.8418489098548889,-5.929317474365234
Control of plasmon emission and dynamics at the transition from classical to quantum coupling.,Ultrafast photoluminescence in nanosecond radiative lifetimes,0.0,0.0,0.0,0.8415527939796448,-4.498144149780273
Bilayer-templated two-dimensional RAFT polymerization for directed assembly of polymer nanostructures.,"Co-localization of monomers, crosslinkers, and chain-transfer agents in self-assembled bilayers.",0.24000000000000002,0.0,0.08,0.8569598197937012,-4.0445661544799805
A systematic review of physiological reactivity to stimuli in autism,"Identifying physiological responses to sensory, social and emotional stimuli in individuals with autism",0.4347826086956522,0.09523809523809525,0.4347826086956522,0.9081723093986511,-3.6521337032318115
High Dimensional Semiparametric Scale-Invariant Principal Component Analysis,High dimensional semiparametric principal component analysis and sparse PCA,0.7058823529411765,0.5333333333333333,0.7058823529411765,0.91351318359375,-3.354133129119873
Molecular phylogeny of echinometrid sea urchins: more species of Heliocidaris with derived modes of reproduction,Pachechinus bajulus (Heliocidaris) is an endemic Australian sea urchin with planktonic development,0.2962962962962963,0.08,0.22222222222222224,0.870533287525177,-4.093908786773682
Facile synthesis of the tridecameric Al13 nanocluster Al13(mu3-OH)6(mu2-OH)18(H2O)24(NO3)15.,"Treatment of aluminum nitrate with an organic nitroso-containing compound yields the ""flat"", tridecameric nanocluster Al 13(mu 3-OH) 6(mu 2-OH ) 18(H 2O) 24(NO 3) 15 ( Al 13 )",0.3921568627450981,0.08163265306122448,0.3921568627450981,0.9038721323013306,-2.3308324813842773
Optical Cherenkov radiation in ultrafast cascaded second-harmonic generation,Long-wavelength Cherenkov radiation in broadband solitons,0.375,0.28571428571428575,0.375,0.8847782015800476,-4.507863998413086
A Hybrid Silicon–AlGaInAs Phase Modulator,A carrier depletion phase modulator based on hybrid silicon evanescent platform,0.5882352941176471,0.26666666666666666,0.3529411764705882,0.8656464219093323,-5.765406608581543
Dark Energy Surveyed Year 1 results: calibration of cluster mis-centring in the redMaPPer catalogues,Centring performance of the DES Y1 redMaPPer cluster finding algorithm,0.4,0.0,0.24,0.8809513449668884,-5.513400077819824
Spatio-temporal modification of collagen scaffolds mediated by triple helical propensity.,Temperature-dependent collagen binding and subsequent release of a series of CMPs.,0.17391304347826086,0.0,0.08695652173913043,0.8607363104820251,-4.531431674957275
Bow Echo Mesovortices. Part I: Processes That Influence Their Damaging Potential,Effects of Low-Level Mesovortices on Bow Echo and Mesoscale Convective Vortex,0.2608695652173913,0.09523809523809525,0.17391304347826086,0.8556181788444519,-4.45749568939209
Max-SINR ISI/ICI-Shaping Multicarrier Communication Over the Doubly Dispersive Channel,Multicarrier modulation for doubly dispersive channels,0.4444444444444444,0.25000000000000006,0.4444444444444444,0.8378080725669861,-5.007964134216309
Dynamics of the heat semigroup on symmetric spaces,The dynamics of Lp heat semigroups on symmetric spaces of non-compact type,0.761904761904762,0.5263157894736842,0.6666666666666667,0.9213589429855347,-2.3774287700653076
Diving into a Simple Anguilliform Swimmer's Sensitivity.,Parameter Sensivities of Aquatic Locomotion in 2D,0.0,0.0,0.0,0.8268977403640747,-5.56107759475708
Energy and Makespan Tradeoffs in Heterogeneous Computing Systems using Efficient Linear Programming Techniques,Resource allocation for heterogeneous computing systems,0.3157894736842105,0.23529411764705882,0.3157894736842105,0.8903647661209106,-5.666844367980957
Enhancing the sensitivity of slow light MZI biosensors through multi-hole defects,Enhanced detection sensitivity of slow light Mach-Zehnder interferometer sensors with multi-hole defects,0.6153846153846153,0.41666666666666663,0.6153846153846153,0.905886173248291,-3.146239757537842
Non-Abelian two-component fractional quantum Hall states,Non-Abelian fractional quantum Hall states,0.8571428571428571,0.6666666666666666,0.8571428571428571,0.9694300293922424,-2.4357941150665283
Negative regulation of Caenorhabditis elegans epidermal damage responses by death-associated protein kinase,The Caenorhabditis elegans ortholog of the tumor suppressor death-associated protein kinase dapk-1 acts as a previously undescribed negative regulator of barrier repair and innate immune responses to wounding.,0.4651162790697674,0.2926829268292683,0.27906976744186046,0.895088791847229,-2.917870044708252
Analysis on the Security and Use of Password Managers,Developing a better and more secure password manager,0.47058823529411764,0.13333333333333333,0.35294117647058826,0.8918076753616333,-4.487941265106201
Active extension in Taiwan's precollision zone: A new model of plate bending in continental crust,Active extension along a deep-seated normal fault during the Taiwan arc-continent collision,0.26666666666666666,0.07142857142857144,0.19999999999999998,0.8587493300437927,-4.651373863220215
ABELIAN $n$ -DIVISION FIELDS OF ELLIPTIC CURVES AND BRAUER GROUPS OF PRODUCT KUMMER & ABELIAN SURFACES,Geometrically isomorphic surfaces,0.1111111111111111,0.0,0.1111111111111111,0.7732732892036438,-5.467312812805176
"EVOLUTIONARY LOSS OF LARVAL FEEDING: DEVELOPMENT, FORM AND FUNCTION IN A FACULTATIVELY FEEDING LARVA, BRISASTER LATIFRONS",Evolutionary persistence of facultative larval feeding in a heart urchin,0.5384615384615384,0.16666666666666669,0.4615384615384615,0.8068394064903259,-4.698949337005615
Targeted highly sensitive detection/eradication of multi-drug resistant Salmonella DT104 through gold nanoparticle-SWCNT bioconjugated nanohybrids.,Photothermolysis of Single-Walled Carbon Nanotubes to Detect Multiple Drug Resistance Salmonella Typhimurium DT104,0.3870967741935484,0.13793103448275862,0.3225806451612903,0.8391761183738708,-4.4990949630737305
"Enantiomeric signatures of organochlorine pesticides in Asian, trans-Pacific, and western U.S. air masses.","Enantiomeric signatures of organochlorine pesticides in air masses from Okinawa, Japan and three remote locations in the Pacific Northwestern United States: Cheeka Peak Observatory (CPO), a marine boundary layer site on the Olympic Peninsula of Washington at 500 m above sea level (m.a.s.l)",0.36065573770491804,0.20338983050847456,0.26229508196721313,0.8905298113822937,-1.418614387512207
All-electron GW quasiparticle band structures of group 14 nitride compounds.,Direct and tunable band gaps in spinel nitrides.,0.2105263157894737,0.0,0.2105263157894737,0.8603584170341492,-5.710085391998291
Coal fly ash as a source of iron in atmospheric dust.,Measurements of Iron Solubility from Anthropogenic Coal Fly Ash Aerosols,0.47619047619047616,0.3157894736842105,0.28571428571428564,0.860265851020813,-2.8674778938293457
